"DESCRIPTION","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"United States : residential","million kilowatthours","ELEC.SALES.US-RES.M","137765","123838","117167","90199","95161","120300","146038","144515","125417","99349","92678","111670","130972","115959","100227","88244","94198","125211","154409","156442","129363","101508","93244","121281","129212","100968","103096","90725","98281","122543","149900","142007","118779","102811","98321","122005","148917","113751","107218","95454","103848","129913","153566","153496","128910","107049","103790","123180","133318","116608","112605","90384","100331","120116","153749","150083","131567","107997","102453","121078","124442","112123","104255","97759","105681","131538","167108","158939","127824","105514","99661","129761","136682","126550","114374","93891","101160","132153","154495","157792","131111","103992","100591","117696","140504","125342","111439","97432","110071","136310","164277","160271","129241","99792","103152","131402","132059","112543","110792","96542","100479","121568","160085","162031","133320","103767","102428","119052","142839","117716","103974"
"United States : commercial","million kilowatthours","ELEC.SALES.US-COM.M","111620","105482","107796","104168","109406","119270","128504","128519","122195","112821","104140","106829","110410","103452","105739","102045","108437","120363","130038","135019","123493","112963","105060","110172","109488","99640","107173","102589","109872","120013","129277","128481","118789","113287","104973","109306","114925","102685","108108","103331","113175","122011","131522","134848","122033","116133","104983","107998","112012","102071","107468","102446","111201","115745","130951","130776","122059","115305","102840","108001","109812","103015","104110","91406","94299","109593","127107","123057","113220","108468","97897","105456","104498","98356","102877","98721","104711","119053","127856","131111","118989","112246","103506","106516","113605","103063","108603","104566","113007","121567","133952","135676","124195","111851","106858","113929","110493","101434","110071","101556","110404","117727","133161","135067","123663","115379","107051","108918","114843","106394","108266"
"total_sales",\0,\0,"249385","229320","224963","194367","204567","239570","274542","273034","247612","212170","196818","218499","241382","219411","205966","190289","202635","245574","284447","291461","252856","214471","198304","231453","238700","200608","210269","193314","208153","242556","279177","270488","237568","216098","203294","231311","263842","216436","215326","198785","217023","251924","285088","288344","250943","223182","208773","231178","245330","218679","220073","192830","211532","235861","284700","280859","253626","223302","205293","229079","234254","215138","208365","189165","199980","241131","294215","281996","241044","213982","197558","235217","241180","224906","217251","192612","205871","251206","282351","288903","250100","216238","204097","224212","254109","228405","220042","201998","223078","257877","298229","295947","253436","211643","210010","245331","242552","213977","220863","198098","210883","239295","293246","297098","256983","219146","209479","227970","257682","224110","212240"
