"month","avg_value"
"1","147.29"
"2","130.96"
"3","122.20"
"4","109.39"
"5","123.28"
"6","154.33"
"7","189.52"
"8","188.60"
"9","150.23"
"10","130.91"
"11","124.79"
"12","141.74"
