"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"New England : residential","number of customers","ELEC.CUSTOMERS.NEW-RES.M","6311010","6315340","6319490","6318280","6296270","6328700","6325690","6324290","6334370","6332010","6319480","6349010","6254290","6270170","6308690","6260930","6319070","6298260","6289860","6299010","6322020","6268700","6299490","6294140","6332480","6296770","6368630","6340860","6347080","6379720","6353840","6310940","6337800","6306150","6369800","6319980","6377320","6348500","6341340","6350560","6420460","6357550","6418520","6389740","6366630","6388980","6372440","6399240","6397140","6331960","6435860","6372730","6408040","6395000","6443470","6491440","6399310","6422850","6416540","6424740","6479560","6364610","6447360","6456180","6440600","6469580","6480770","6480770","6448340","6480790","6398870","6428280","6480540","6434640","6504980","6496470","6485820","6539620","6474680","6531140","6498220","6457040","6532850","6523500","6547410","6511850","6574100","6455930","6556440","6563260","6539580","6770470","6619190","6570280","6551290","6517240","6577070","6551790","6535710","6512480","6570220","6574830","6556150","6579550","6540950","6615980","6596940","6558860","6595090","6638810","6662350"
"New England : commercial","number of customers","ELEC.CUSTOMERS.NEW-COM.M","879393","879457","870325","869882","867226","892874","872634","871291","874013","873707","872673","875866","867393","869026","901621","867604","873999","864710","873687","877901","877873","871083","874766","873989","880109","877307","886098","884541","885777","890625","886990","886843","885349","881050","893910","884036","873630","866542","877362","877082","883634","878343","879808","895158","892822","893989","893109","894457","885963","876910","893396","884947","888333","888287","894932","894988","889618","894021","893945","894055","894583","885086","894799","896146","893466","894425","891752","890127","887722","900661","885465","896826","916384","912104","919083","913916","915897","921917","914441","921119","917857","912840","923591","920747","924569","923261","929356","910039","932406","934352","931179","936702","937826","934240","935957","931806","942305","937105","944892","884760","943806","942327","941486","945664","938952","952320","950919","949293","953537","962093","971269"
"New England : industrial","number of customers","ELEC.CUSTOMERS.NEW-IND.M","27145","27229","26972","26911","26720","26874","26757","26971","26965","26880","26679","26815","26445","26402","26607","26309","26476","26462","26275","26451","26512","26261","26396","26330","23153","22744","23219","23071","23076","23145","23011","23070","23115","22960","23029","22748","23389","23192","23200","23005","23102","22975","22886","23033","22874","23024","22891","22755","23594","23243","23623","23494","23493","23105","23391","23247","23052","23274","23146","23039","23159","22804","22961","22948","22844","22976","22817","22873","22699","22900","22236","22519","22721","22472","22789","22654","22576","22695","22436","22580","22457","22295","22347","22329","21887","21767","21856","21392","21892","21732","21618","21728","21765","21710","21602","21466","21712","21803","22054","21434","21623","21451","21586","21644","21509","21653","21603","21283","21536","21365","20985"
"New England : transportation","number of customers","ELEC.CUSTOMERS.NEW-TRA.M","7","7","7","7","7","7","7","7","7","7","7","7","6","6","6","6","6","7","7","7","7","7","7","7",\0,\0,\0,\0,\0,"6","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"New England : other","number of customers","ELEC.CUSTOMERS.NEW-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Connecticut","number of customers","ELEC.CUSTOMERS.CT-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Connecticut : all sectors","number of customers","ELEC.CUSTOMERS.CT-ALL.M","1633960","1634590","1624980","1624100","1623120","1622400","1621820","1622120","1624360","1625900","1626700","1626720","1629430","1641770","1640410","1644560","1643720","1642970","1643050","1644380","1644550","1646490","1648320","1650340","1649930","1650040","1647830","1652560","1653280","1652980","1651730","1653160","1653670","1654610","1656320","1658310","1660150","1659460","1660810","1661200","1662360","1661300","1661690","1662430","1660830","1662860","1664110","1664840","1664290","1665040","1664700","1665720","1665830","1665840","1667550","1667620","1668170","1669640","1669940","1671470","1681470","1681590","1683230","1685370","1680100","1681900","1679410","1677480","1678650","1678390","1676520","1677520","1683260","1686400","1686230","1689430","1690210","1690270","1690700","1691390","1692300","1693070","1693350","1694490","1693480","1693720","1694190","1695170","1695770","1695860","1696040","1696750","1696200","1697080","1698210","1699250","1698350","1700130","1700240","1699520","1700530","1700450","1700030","1700470","1692310","1708200","1703100","1704440","1702730","1704140","1706620"
"Connecticut : residential","number of customers","ELEC.CUSTOMERS.CT-RES.M","1469290","1469850","1469140","1468450","1467650","1466940","1466470","1466710","1469100","1470590","1471640","1471640","1474940","1485150","1483920","1487770","1487040","1486250","1486410","1487550","1487690","1489430","1491420","1493300","1494000","1494060","1490740","1495110","1495800","1495560","1494310","1495650","1495980","1496910","1498390","1500410","1501820","1501140","1502600","1503020","1504170","1503150","1503570","1504240","1502560","1504600","1505850","1507680","1508330","1508830","1508590","1509460","1509650","1509740","1511210","1511520","1511930","1513320","1513740","1515290","1522820","1522780","1524440","1526530","1522220","1522430","1519840","1518320","1519440","1519020","1517200","1518290","1523800","1526990","1526300","1529440","1530050","1530260","1530650","1531620","1532640","1533250","1533570","1534440","1533980","1534160","1534810","1535750","1536320","1536500","1536680","1536950","1535820","1536730","1537860","1539000","1537620","1539160","1539230","1539010","1539840","1539760","1539300","1539760","1535200","1547100","1541990","1543450","1541620","1542930","1545270"
"Connecticut : commercial","number of customers","ELEC.CUSTOMERS.CT-COM.M","159928","159993","151398","151231","151055","151034","150952","151019","150870","150914","150687","150705","150151","152197","152060","152364","152258","152338","152238","152435","152441","152651","152441","152603","151538","151603","152695","153043","153071","153021","153029","153109","153300","153338","153526","153563","153913","153947","153855","153858","153861","153831","153852","153882","153973","153970","153974","152980","151697","151940","151883","152022","151966","151914","152136","151943","152070","152135","152013","152036","154475","154645","154626","154658","153715","155311","155424","155030","155190","155193","155344","155085","155340","155544","155833","155891","156070","155924","155991","155709","155596","155782","155761","156046","155504","155588","155401","155409","155456","155375","155408","155821","156392","156353","156363","156320","156770","156985","157050","156528","156717","156768","156793","156782","153297","157167","157181","157113","157238","157304","157480"
"Connecticut : industrial","number of customers","ELEC.CUSTOMERS.CT-IND.M","4740","4744","4439","4417","4417","4416","4397","4396","4382","4398","4371","4374","4337","4417","4422","4422","4419","4376","4396","4393","4415","4405","4457","4435","4397","4372","4399","4406","4409","4393","4385","4389","4387","4358","4406","4326","4418","4365","4345","4323","4329","4323","4262","4300","4293","4284","4276","4175","4257","4268","4229","4242","4213","4188","4203","4154","4173","4185","4181","4142","4172","4163","4163","4181","4159","4152","4144","4126","4016","4173","3968","4139","4116","3868","4096","4099","4080","4084","4059","4057","4055","4043","4017","4007","3985","3971","3977","4002","3987","3973","3951","3975","3986","3992","3978","3926","3953","3984","3952","3975","3967","3925","3940","3928","3813","3934","3925","3867","3868","3901","3867"
