"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"East North Central : residential","number of customers","ELEC.CUSTOMERS.ENC-RES.M","19783400","19753900","19821100","19794400","19749900","19787000","19787800","19789100","19810500","19824100","19827000","19877800","19889000","19899700","19935700","19907700","19914700","19923700","19911800","19934500","19965100","19975400","19975400","20023100","20024800","20020300","20052600","20042200","20051800","20050000","20046300","20047800","20046600","20097800","20109500","20136900","20172300","20146100","20159700","20152800","20172800","20167600","20173600","20191900","20176000","20213300","20236100","20240300","20270700","20256300","20261500","20261400","20268400","20265300","20275100","20265600","20295100","20324200","20329600","20371900","20354800","20360400","20366300","20398400","20399300","20423200","20472900","20458500","20499800","20501400","20504800","20550100","20528500","20463800","20562500","20567300","20553100","20573900","20577000","20590400","20597900","20597500","20615600","20641800","20654600","20571300","20755800","20687900","20719900","20728900","20688400","20735900","20716400","20726200","20754200","20769200","20708000","20673500","20743700","20718500","20717300","20729000","20755800","20786700","20816700","20823900","20833500","20836900","20856100","20813200","20873400"
"East North Central : commercial","number of customers","ELEC.CUSTOMERS.ENC-COM.M","2451850","2443950","2454420","2453000","2450300","2456060","2457140","2456730","2458510","2457700","2456180","2461340","2460370","2460280","2467220","2463940","2464410","2468140","2467200","2472770","2476580","2477130","2473960","2479840","2477570","2478610","2478740","2482570","2487410","2487300","2489950","2487950","2485110","2489570","2490350","2490940","2496130","2492320","2493770","2495130","2499320","2498780","2501380","2504080","2501400","2504080","2496890","2503900","2506410","2509140","2502960","2506480","2511550","2512580","2515880","2514840","2518890","2520870","2520810","2547150","2530190","2527490","2528320","2530120","2532660","2531850","2539440","2536320","2540450","2539060","2540560","2546480","2537630","2533670","2547680","2546580","2546370","2550700","2553460","2552260","2557130","2555830","2556670","2560140","2560020","2547550","2571480","2547350","2555750","2558820","2551670","2555060","2553980","2551890","2559720","2559680","2557870","2552400","2560220","2552490","2557880","2560930","2566990","2582250","2593410","2592640","2566850","2568180","2563520","2563590","2570840"
"East North Central : industrial","number of customers","ELEC.CUSTOMERS.ENC-IND.M","54885","54747","55201","54949","54654","55163","55010","55026","55011","55108","54721","54690","54843","54856","55582","55110","54909","55033","54740","55066","54914","54878","54735","54907","54034","53764","54387","54138","54303","54311","54241","54446","54082","54213","53715","53913","54200","53559","53555","54027","54034","54137","54141","54283","54086","53877","53587","53903","55204","55136","55302","55811","55834","51813","55902","55956","56652","56426","56280","56641","55898","55664","55711","56132","56040","56089","56156","56039","56083","55585","55462","55867","55162","55198","55257","55538","55502","55632","55738","55707","55703","55244","55186","55563","55189","54396","55636","55029","55603","55839","55382","55437","55344","54947","54856","55297","55164","55061","55092","55192","55317","55423","55667","55257","55295","55044","54251","54913","54797","54628","53895"
"East North Central : transportation","number of customers","ELEC.CUSTOMERS.ENC-TRA.M","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11","11",\0,\0,"11","11","11","11","11","11","11","10","10","10","9","10","10","9","10","10","10","10","10","10","10","10","10","10"
"East North Central : other","number of customers","ELEC.CUSTOMERS.ENC-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Illinois","number of customers","ELEC.CUSTOMERS.IL-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Illinois : all sectors","number of customers","ELEC.CUSTOMERS.IL-ALL.M","5769070","5757480","5794780","5773650","5767950","5767960","5773900","5781770","5786540","5798610","5804800","5805580","5835200","5840100","5843130","5836620","5838720","5836300","5834580","5843840","5848150","5855690","5855570","5866670","5868340","5875300","5870710","5885670","5880420","5874380","5875210","5879670","5883350","5889620","5893540","5904140","5906580","5903060","5914340","5909410","5910060","5897680","5904090","5917970","5906080","5919190","5919460","5929920","5933620","5937860","5938430","5941340","5933160","5938230","5939080","5939320","5947450","5945750","5953420","5969120","5950600","5960460","5962450","5959600","5968010","5971110","5977630","5970840","5992600","5982100","5991590","6001370","5988910","5994240","5993960","5997500","5997350","6001070","5998930","5998430","6002560","6004620","6009410","6015240","6014830","6012890","6019680","6020180","6012490","6012520","5995900","6035170","6015800","6014840","6034390","6030080","6014290","5991160","6041540","6017690","6014720","6009590","6027800","6075180","6098260","6094300","6061670","6052800","6032400","5998220","6055900"
"Illinois : residential","number of customers","ELEC.CUSTOMERS.IL-RES.M","5160750","5151440","5183490","5164710","5159320","5159360","5164860","5172210","5177150","5188430","5194840","5195260","5222480","5227440","5230410","5224790","5226550","5223880","5222170","5230530","5234760","5241940","5242040","5251480","5252620","5259180","5257380","5266980","5262680","5257680","5257810","5262210","5265840","5271290","5274480","5283850","5286540","5282700","5293320","5288260","5288730","5276920","5282120","5294570","5284190","5295510","5297100","5304880","5307550","5311170","5311930","5314350","5306560","5310010","5310490","5311080","5317600","5315880","5322140","5335520","5317210","5326530","5328920","5326880","5333880","5337590","5342890","5337860","5356910","5347480","5355740","5363390","5352300","5356870","5357180","5360240","5359310","5362590","5360480","5359660","5363030","5365190","5369480","5374210","5374500","5373080","5379170","5379890","5372560","5372480","5357750","5392480","5375460","5374290","5386630","5382490","5371970","5351070","5396980","5378110","5372630","5367620","5382740","5413750","5429240","5425180","5419020","5409120","5398030","5360960","5413540"
"Illinois : commercial","number of customers","ELEC.CUSTOMERS.IL-COM.M","602306","600043","605283","602947","602638","602611","603034","603557","603362","604168","603973","604315","606658","606592","606706","605784","606147","606354","606357","607232","607300","607678","607481","609119","609992","610469","607625","612971","612025","610978","611688","611757","611826","612635","613406","614624","614328","614647","615312","615453","615646","614968","616221","617658","616171","617950","616694","619290","620341","620946","620764","621255","620868","622495","622847","622489","624098","624137","625532","627852","627786","628371","627979","627160","628557","627942","629131","627404","630100","629113","630356","632412","631115","631786","631422","631809","632589","633053","633003","633316","634067","633973","634475","635547","634873","634339","635019","634795","634443","634537","632667","637188","634831","635059","642281","642066","636646","634433","638911","633948","636437","636329","639432","655768","663193","663300","636956","638056","628728","631530","636839"
"Illinois : industrial","number of customers","ELEC.CUSTOMERS.IL-IND.M","6009","5989","6004","5991","5987","5986","6007","5998","6024","6007","5980","5995","6059","6065","6018","6037","6023","6055","6044","6082","6087","6072","6044","6067","5731","5652","5697","5715","5716","5725","5705","5699","5681","5693","5651","5662","5715","5703","5705","5694","5684","5783","5742","5734","5721","5728","5660","5748","5730","5737","5731","5735","5725","5728","5747","5751","5745","5724","5750","5745","5605","5560","5544","5556","5567","5576","5605","5573","5585","5505","5489","5559","5492","5575","5356","5451","5442","5422","5446","5452","5459","5454","5452","5480","5461","5467","5488","5492","5482","5506","5476","5499","5501","5481","5472","5517","5667","5655","5641","5632","5652","5639","5624","5655","5823","5824","5694","5621","5638","5726","5523"
"Illinois : transportation","number of customers","ELEC.CUSTOMERS.IL-TRA.M","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",\0,\0,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Illinois : other","number of customers","ELEC.CUSTOMERS.IL-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Indiana","number of customers","ELEC.CUSTOMERS.IN-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Indiana : all sectors","number of customers","ELEC.CUSTOMERS.IN-ALL.M","3171010","3171620","3173160","3170800","3161440","3171600","3173780","3168270","3176200","3177000","3178040","3189540","3181750","3184170","3186440","3187590","3185300","3188590","3189310","3187860","3194750","3197230","3194740","3205580","3197990","3198220","3201240","3199250","3197060","3199460","3199360","3201550","3209100","3209760","3213740","3221450","3228830","3227290","3227620","3230160","3230130","3232190","3235140","3234010","3239980","3244440","3247690","3252540","3252510","3254900","3255340","3259490","3260460","3266310","3263280","3261110","3268950","3273720","3276870","3282570","3281280","3284000","3286280","3290060","3294300","3297290","3313350","3311750","3316870","3318840","3317970","3325190","3316650","3319070","3324520","3324080","3325920","3330380","3331220","3347340","3338390","3340350","3343430","3347470","3359110","3265630","3457820","3375430","3377660","3380820","3378660","3386470","3384050","3386630","3389340","3390610","3341980","3343620","3346950","3344730","3347220","3350190","3353690","3358730","3363220","3367020","3367530","3374850","3377080","3378220","3384480"
"Indiana : residential","number of customers","ELEC.CUSTOMERS.IN-RES.M","2803410","2804100","2805600","2802520","2793520","2802510","2803820","2799140","2807040","2807710","2808900","2820060","2814770","2816480","2817890","2819350","2816860","2819710","2820360","2818320","2825340","2827680","2825810","2836010","2829760","2829930","2832250","2830420","2827670","2829300","2828780","2830820","2838040","2838960","2842820","2850320","2857380","2856050","2856260","2858340","2858170","2859950","2862120","2860960","2866470","2870900","2874370","2879240","2879620","2881980","2882720","2882230","2882910","2888080","2884510","2882230","2888770","2893110","2896330","2901890","2900020","2902580","2904560","2908220","2912120","2914980","2929680","2927970","2933140","2935040","2934020","2940780","2935000","2937440","2942080","2941600","2943020","2946720","2947150","2962920","2953530","2955440","2958440","2962220","2973380","2890420","3060620","2985030","2987190","2990070","2987940","2995570","2993340","2995830","2998540","2999870","2949820","2951250","2954750","2953010","2955050","2957940","2960870","2965560","2969280","2973220","2974660","2980670","2982320","2984270","2989620"
"Indiana : commercial","number of customers","ELEC.CUSTOMERS.IN-COM.M","349419","349345","349316","350045","349756","350853","351729","350917","350956","351024","350916","351304","348971","349672","350145","350163","350365","350807","350898","351427","351318","351476","350893","351564","350315","350507","351027","350927","351442","352227","352670","352795","353087","352866","352995","353262","353671","353487","353610","354048","354196","354492","355236","355263","355740","355758","355567","355593","354512","354551","354194","358749","359004","359716","360204","360336","360737","361147","361104","361235","361788","362000","362314","362451","362795","362917","364287","364412","364332","364428","364613","365072","362498","362508","363325","363461","363873","364622","364966","365368","365805","365877","365928","366231","366623","356657","377517","371256","371343","371633","371612","371795","371600","371688","371672","371613","373092","373297","373113","372636","373063","373163","373726","374034","374837","374695","374315","375033","375602","374910","375973"
"Indiana : industrial","number of customers","ELEC.CUSTOMERS.IN-IND.M","18180","18174","18244","18239","18166","18237","18235","18210","18205","18260","18219","18174","18007","18023","18396","18072","18069","18073","18054","18113","18083","18078","18038","18005","17911","17786","17958","17903","17945","17926","17906","17933","17969","17937","17923","17868","17778","17757","17748","17766","17763","17750","17783","17791","17773","17784","17749","17706","18369","18370","18424","18513","18547","18509","18565","18547","19447","19462","19432","19447","19477","19414","19395","19387","19382","19385","19385","19363","19390","19372","19336","19331","19146","19123","19112","19018","19030","19044","19103","19052","19056","19036","19059","19020","19107","18547","19689","19148","19118","19117","19097","19103","19116","19109","19120","19125","19067","19075","19088","19083","19107","19088","19092","19134","19103","19095","18550","19142","19156","19034","18891"
"Indiana : transportation","number of customers","ELEC.CUSTOMERS.IN-TRA.M","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",\0,"1","1",\0,"1","1","1","1","1","1","1","1","1","1"
"Indiana : other","number of customers","ELEC.CUSTOMERS.IN-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Michigan","number of customers","ELEC.CUSTOMERS.MI-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Michigan : all sectors","number of customers","ELEC.CUSTOMERS.MI-ALL.M","4815490","4815860","4821460","4818560","4812290","4816820","4817140","4819220","4824570","4829580","4829430","4840630","4839890","4843350","4848910","4838920","4850820","4852470","4846900","4856100","4866290","4872280","4870130","4884380","4882770","4886000","4889520","4880940","4899860","4892590","4892590","4892080","4892890","4906740","4897130","4908590","4913420","4904230","4906180","4891680","4919300","4918490","4915100","4919910","4910530","4923360","4929240","4925620","4933870","4920000","4926200","4914980","4928720","4923740","4930440","4927860","4933650","4950950","4949160","4977020","4956250","4957440","4958740","4967380","4965350","4974060","4979290","4975020","4984900","4991510","4992620","5000920","4992040","5001070","5013900","5009430","5010510","5016290","5017560","5016460","5022380","5021660","5024330","5027750","5025140","5033160","5031630","5029620","5030090","5031590","5034720","5035870","5038560","5040250","5045500","5049700","5063520","5063520","5072830","5067890","5073570","5071130","5076090","5075230","5073910","5083960","5080090","5083950","5093710","5091920","5097160"
"Michigan : residential","number of customers","ELEC.CUSTOMERS.MI-RES.M","4277710","4278660","4283540","4280750","4274010","4278100","4278340","4280380","4284640","4289490","4289050","4299610","4298390","4301810","4305910","4296050","4307410","4308410","4302630","4310060","4319630","4324530","4322540","4334720","4335660","4335900","4341090","4332680","4348990","4342400","4341380","4342360","4344570","4356760","4349460","4360580","4363970","4355870","4357510","4344250","4368120","4369530","4366070","4370360","4361880","4373970","4379060","4375720","4384140","4371640","4377580","4369670","4380240","4375480","4382270","4379850","4385300","4401160","4399920","4404390","4406160","4407730","4408300","4416220","4414010","4422660","4427300","4423300","4432130","4438800","4439270","4447240","4441980","4447240","4458530","4453450","4453930","4459360","4459120","4459190","4464390","4463950","4466020","4469270","4466700","4474650","4472350","4470520","4469980","4471250","4473810","4475010","4477560","4479520","4484150","4488260","4501220","4500920","4507870","4504310","4509000","4506110","4510250","4509280","4507830","4516850","4513780","4517440","4526470","4524730","4529220"
"Michigan : commercial","number of customers","ELEC.CUSTOMERS.MI-COM.M","531771","531201","531772","531800","532283","532655","532756","532780","533853","534012","534371","535029","535382","535411","536652","536541","537234","537879","538134","539861","540515","541594","541483","543367","541018","543998","542149","542095","544644","543964","544937","543406","542156","543628","541660","541879","543305","542541","542894","541375","545108","542918","543003","543503","542641","543491","544330","543983","544075","542749","543000","539541","542693","542436","542360","542229","542595","544115","543594","566847","544615","544273","544966","545492","545689","545718","546315","546058","547102","547206","547889","548034","544604","548280","549766","550216","550821","551124","552621","551444","552152","552049","552663","552671","552795","552879","553649","553342","554308","554516","555120","555147","555281","555190","555857","555753","556735","557068","559422","557920","558929","559366","560167","560256","560407","561526","560760","560866","561685","561652","562394"
"Michigan : industrial","number of customers","ELEC.CUSTOMERS.MI-IND.M","6003","5995","6147","6004","5992","6065","6051","6062","6074","6078","6015","5996","6120","6122","6343","6330","6174","6182","6140","6180","6145","6156","6112","6292","6093","6100","6277","6166","6231","6227","6263","6313","6164","6349","6015","6129","6140","5817","5774","6053","6069","6038","6023","6046","6013","5900","5840","5919","5657","5609","5615","5767","5788","5822","5806","5781","5754","5675","5638","5777","5475","5439","5475","5663","5651","5674","5680","5666","5664","5507","5458","5641","5458","5553","5598","5758","5755","5802","5820","5818","5833","5657","5649","5808","5636","5629","5636","5761","5791","5826","5789","5709","5715","5536","5496","5675","5566","5538","5536","5655","5643","5655","5672","5692","5668","5584","5545","5641","5548","5535","5540"
"Michigan : transportation","number of customers","ELEC.CUSTOMERS.MI-TRA.M","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Michigan : other","number of customers","ELEC.CUSTOMERS.MI-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Ohio","number of customers","ELEC.CUSTOMERS.OH-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Ohio : all sectors","number of customers","ELEC.CUSTOMERS.OH-ALL.M","5533310","5523900","5550800","5535650","5518910","5544600","5528210","5526880","5530240","5528080","5530780","5543110","5535620","5549010","5565880","5548090","5549760","5551160","5543930","5558470","5556350","5560900","5563660","5570230","5571890","5572290","5593640","5580510","5584180","5581120","5579780","5579490","5554320","5593300","5599250","5597800","5615240","5609240","5613090","5613290","5610100","5608630","5610500","5614230","5610330","5619640","5616430","5624520","5629000","5638110","5633280","5633220","5630420","5619110","5630340","5628100","5631830","5638050","5642920","5647930","5647180","5647950","5653400","5656210","5661020","5664770","5681710","5681380","5688310","5691370","5687370","5693850","5687500","5685120","5704210","5697440","5696680","5700410","5700020","5702890","5705430","5709210","5714080","5714560","5718160","5722820","5725220","5710190","5763590","5762730","5727670","5735540","5720060","5735470","5739720","5740220","5713480","5715190","5718310","5715020","5717250","5718730","5721260","5724750","5727820","5732160","5738140","5740520","5749620","5750180","5752280"
"Ohio : residential","number of customers","ELEC.CUSTOMERS.OH-RES.M","4894180","4887140","4909700","4896130","4880700","4901900","4887610","4886050","4889200","4887870","4891800","4902660","4896290","4907740","4921830","4906910","4907200","4907690","4902340","4912810","4913380","4916310","4920400","4926260","4928970","4929830","4947640","4935950","4937080","4934490","4932900","4932170","4910590","4945680","4951410","4950930","4966290","4961850","4965190","4964380","4961090","4958510","4960220","4962740","4960110","4968490","4973740","4975580","4978220","4981880","4982370","4981340","4977990","4971700","4976600","4974520","4978170","4984050","4989190","4995180","4991710","4993920","4998740","5001930","5004920","5009370","5023570","5024000","5030650","5033900","5030390","5036370","5031170","5032910","5041710","5038680","5037790","5039830","5039560","5042100","5044380","5047920","5053320","5053430","5057450","5062090","5063730","5066590","5111500","5108650","5080200","5087640","5073800","5088830","5093570","5094840","5069220","5072070","5075410","5072910","5074080","5075080","5076460","5080310","5082830","5087610","5093360","5096600","5103880","5105680","5107390"
"Ohio : commercial","number of customers","ELEC.CUSTOMERS.OH-COM.M","619897","617631","621800","620317","619141","623417","621455","621671","621945","621090","619930","621380","620183","622129","624791","622079","623458","624324","622573","626523","623919","625579","624218","624950","624189","623800","627174","625826","628386","627933","628212","628606","625235","629003","629261","628327","630129","628643","629143","630177","630285","631394","631585","632727","631564","632455","624048","630293","630741","636160","630782","631735","632257","631263","633586","633343","633536","633865","633609","632642","635616","634237","634849","634505","636360","635675","638372","637634","637915","637786","637275","637850","636725","632734","642819","639205","639368","640994","640871","641233","641517","641734","641254","641619","641237","641313","642067","624559","632522","634387","628119","628495","626958","627291","626824","626103","624881","623788","623537","622878","623888","624245","625167","625328","625906","625506","625761","625028","626760","625635","626418"
"Ohio : industrial","number of customers","ELEC.CUSTOMERS.OH-IND.M","19228","19132","19308","19202","19064","19279","19141","19153","19088","19121","19044","19066","19148","19142","19260","19101","19105","19140","19016","19137","19052","19011","19033","19012","18726","18658","18822","18731","18716","18704","18665","18713","18495","18611","18577","18539","18820","18754","18759","18732","18727","18726","18687","18756","18658","18698","18639","18635","20035","20062","20134","20142","20168","16144","20158","20237","20115","20134","20118","20107","19851","19790","19808","19775","19738","19722","19769","19743","19739","19680","19702","19627","19607","19479","19677","19548","19513","19586","19592","19556","19534","19553","19502","19502","19464","19405","19421","19040","19560","19683","19349","19395","19301","19353","19325","19284","19379","19330","19359","19228","19285","19406","19637","19117","19080","19041","19016","18891","18972","18860","18476"
"Ohio : transportation","number of customers","ELEC.CUSTOMERS.OH-TRA.M","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",\0,"3",\0,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Ohio : other","number of customers","ELEC.CUSTOMERS.OH-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"Wisconsin","number of customers","ELEC.CUSTOMERS.WI-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
