"VALUE"
"186.03"
"177.11"
"161.23"
"138.92"
"158.66"
"189.48"
"213.22"
"207.75"
"182.92"
"155.45"
"142.37"
"148.92"
"172.11"
"145.89"
"129.25"
"126.29"
"141.79"
"185.63"
"216.08"
"217.07"
"180.49"
"153.9"
"137.71"
"169.55"
"165.81"
"131.37"
"140.95"
"129.55"
"145.87"
"170.16"
"205.31"
"194.4"
"161.31"
"147.27"
"142.02"
"166.64"
"180.72"
"135.46"
"138.81"
"127.38"
"148.14"
"171.94"
"203.28"
"201.46"
"172.6"
"153.7"
"150.98"
"159.13"
"166.38"
"140.54"
"141.48"
"117.5"
"136.3"
"153.71"
"193.39"
"188.58"
"166.67"
"138.4"
"139.67"
"144.61"
"139.84"
"126.8"
"120.6"
"102.39"
"111.96"
"143.61"
"187.67"
"184.79"
"145.38"
"131.88"
"121.57"
"148.07"
"150.06"
"147.63"
"121.12"
"113.66"
"127.29"
"168.22"
"192.95"
"194.83"
"154.01"
"134.96"
"124.88"
"130.44"
"162.17"
"133.94"
"123.55"
"114.13"
"132.96"
"158.69"
"189.19"
"187.59"
"150.87"
"127.85"
"126.65"
"151.62"
"137.08"
"115.46"
"123.53"
"107.38"
"120.92"
"146.78"
"188.27"
"187.17"
"150.66"
"128.93"
"126.04"
"136.81"
"163.25"
"116.7"
"111.32"
