"DESCRIPTION","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"United States : coal","thousand megawatthours","ELEC.GEN.COW-US-99.M","132451","126977","108488","88989","104585","125673","139100","134670","117986","96759","87227","89495","113459","92705","72173","72113","81695","116034","136316","135635","114138","99194","86940","118747","115333","86822","89365","81335","92777","107508","127698","119488","98202","89776","90986","106545","119284","82050","80626","73346","85227","101503","115376","115129","96544","87264","92819","100319","100905","79929","78352","59922","71885","78540","100771","94040","85707","66777","75549","72581","65140","56201","50731","40675","46527","65283","89709","91145","68407","59805","61182","78588","81240","87470","61904","53956","63873","87265","101537","101855","78877","62572","57426","60025","87588","70966","61019","55329","62532","73463","86415","85215","64998","54228","56377","73381","61275","46488","50057","40141","43835","57700","79121","78187","60001","50956","51231","56271","75662","44055","38360"
"United States : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-US-99.M","1927","5221","1061","919","1017","1040","1201","1093","1006","945","995","948","1396","1299","874","833","984","972","1273","1258","946","937","1070","1166","1102","869","956","860","970","991","920","968","931","973","915","1958","5555","804","830","872","1040","1066","988","1047","1055","1015","1006","966","1413","815","816","782","937","957","1004","1047","923","942","899","988","915","749","691","626","691","818","914","887","755","876","800","940","936","1589","791","802","835","932","883","1197","950","894","887","968","3105","1114","959","749","834","897","1045","1001","942","952","911","3296","995","1129","976","893","903","906","967","990","919","973","960","983","1493","775","816"
"United States : petroleum coke","thousand megawatthours","ELEC.GEN.PC-US-99.M","1046","1100","717","809","922","821","1103","1040","1028","827","715","749","966","910","927","1006","974","1005","1049","1078","980","635","799","869","944","723","699","431","847","901","889","765","712","572","755","737","965","754","642","666","517","834","913","879","799","562","656","795","800","692","574","401","737","563","791","684","581","200","333","463","633","540","704","614","610","801","837","787","439","351","612","751","702","660","645","422","534","453","681","747","638","655","783","591","564","621","500","528","596","683","488","576","648","610","568","744","406","335","323","301","286","383","702","701","635","312","206","289","317","199","150"
"United States : natural gas","thousand megawatthours","ELEC.GEN.NG-US-99.M","101691","91440","99550","92856","101625","121568","141241","139216","123111","110110","102369","109892","110044","98688","103933","98974","110519","131523","151716","154926","125683","102898","93951","96416","95661","82837","95214","88562","98074","117351","147042","141308","118132","106895","95072","111553","110442","98675","106742","98672","115565","131086","165075","162001","142085","123280","108265","109955","121808","112397","116059","104349","117297","138087","172282","175270","149938","131113","117959","131973","136084","128018","126187","110564","117186","143055","181568","173644","141397","131413","109811","127863","126530","111183","107019","107416","114676","149376","170189","172716","138214","131852","122433","127586","134948","114945","112477","105506","127094","155517","189042","188860","156948","133492","127523","140716","137725","123928","132207","120294","137728","161827","200554","199995","165406","140963","135260","146174","160450","130990","130423"
"United States : other gases","thousand megawatthours","ELEC.GEN.OOG-US-99.M","1246","1025","1091","979","1099","1118","1235","1196","1210","906","902","1110","1195","1062","1197","1132","1053","1043","1077","1064","1020","913","1013","1037","1047","978","1060","1001","1056","993","1047","1133","1059","998","1001","1095","1097","1092","1158","1099","1167","1091","1172","1301","1104","1016","1045","1120","1025","948","1086","948","1054","1009","1185","1147","1112","924","1047","1107","1155","1152","1047","802","884","867","937","1094","1013","918","950","999","1035","820","860","871","914","974","1046","1031","984","1062","871","930","1005","886","953","921","1036","987","1083","1008","987","968","911","978","990","912","961","717","901","894","995","1151","951","913","999","1067","1029","780","723"
"total_fossil","thousand megawatthours","ELEC.GEN.OOG-US-99.M","238361","225763","210907","184552","209248","250220","283880","277215","244341","209547","192208","202194","227060","194664","179104","174058","195225","250577","291431","293961","242767","204577","183773","218235","214087","172229","187294","172189","193724","227744","277596","263662","219036","199214","188729","221888","237343","183375","189998","174655","203516","235580","283524","280357","241587","213137","203791","213155","225951","194781","196887","166402","191910","219156","276033","272188","238261","199956","195787","207112","203927","186660","179360","153281","165898","210824","273965","267557","212011","193363","173355","209141","210443","201722","171219","163467","180832","239000","274336","277546","219663","197035","182400","190100","227210","188532","175908","163033","192092","231547","278073","276660","224523","190250","186290","219115","201391","172792","184524","162346","183653","221710","282339","281024","227912","194117","188656","204784","238951","176799","170472"
