"Area","Date","Variable","Unit","VALUE","Ember_region"
"United States of America","2023-01-01","Total emissions","mtCO2","137.08","North America"
"United States of America","2023-02-01","Total emissions","mtCO2","115.46","North America"
"United States of America","2023-03-01","Total emissions","mtCO2","123.53","North America"
"United States of America","2023-04-01","Total emissions","mtCO2","107.38","North America"
"United States of America","2023-05-01","Total emissions","mtCO2","120.92","North America"
"United States of America","2023-06-01","Total emissions","mtCO2","146.78","North America"
"United States of America","2023-07-01","Total emissions","mtCO2","188.27","North America"
"United States of America","2023-08-01","Total emissions","mtCO2","187.17","North America"
"United States of America","2023-09-01","Total emissions","mtCO2","150.66","North America"
"United States of America","2023-10-01","Total emissions","mtCO2","128.93","North America"
"United States of America","2023-11-01","Total emissions","mtCO2","126.04","North America"
"United States of America","2023-12-01","Total emissions","mtCO2","136.81","North America"
"United States of America","2024-01-01","Total emissions","mtCO2","163.25","North America"
"United States of America","2024-02-01","Total emissions","mtCO2","116.7","North America"
"United States of America","2024-03-01","Total emissions","mtCO2","111.32","North America"
