"month","avg_value"
"1","162.24"
"2","139.36"
"3","133.39"
"4","119.69"
"5","135.99"
"6","165.36"
"7","198.82"
"8","195.96"
"9","162.77"
"10","141.37"
"11","134.65"
"12","150.64"
