description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Michigan : all sectors,number of customers,ELEC.CUSTOMERS.MI-ALL.M,4815486,4815862,4821464,4818558,4812289,4816821,4817145,4819218,4824569,4829584,4829434,4840633,4839889,4843347,4848909,4838923,4850815,4852470,4846901,4856105,4866290,4872281,4870132,4884377,4882772,4886000,4889518,4880938,4899864,4892591,4892587,4892082,4892891,4906740,4897132,4908588,4913417,4904234,4906181,4891683,4919303,4918488,4915096,4919907,4910532,4923360,4929235,4925623,4933869,4919997,4926195,4914981,4928724,4923741,4930437,4927862,4933651,4950952,4949155,4977020,4956252,4957443,4958744,4967379,4965351,4974058,4979293,4975025,4984899,4991511,4992618,5000920,4992045,5001070,5013898,5009429,5010509,5016293,5017564,5016456,5022376,5021661,5024332,5027750,5025137,5033159,5031634,5029621,5030086,5031591,5034717,5035867,5038562,5040251,5045502,5049695,5063520,5063523,5072826,5067886,5073572,5071131,5076093,5075228,5073908,5083959,5080086,5083946,5093708,5091915,5097156,5098942,5102137
Michigan : residential,number of customers,ELEC.CUSTOMERS.MI-RES.M,4277711,4278665,4283544,4280753,4274013,4278100,4278337,4280375,4284641,4289493,4289047,4299607,4298386,4301813,4305913,4296051,4307406,4308408,4302626,4310063,4319629,4324530,4322536,4334717,4335660,4335901,4341091,4332675,4348987,4342398,4341385,4342361,4344569,4356761,4349455,4360578,4363970,4355874,4357511,4344253,4368124,4369530,4366068,4370356,4361876,4373967,4379063,4375719,4384135,4371637,4377578,4369671,4380241,4375481,4382269,4379850,4385300,4401160,4399921,4404394,4406160,4407729,4408301,4416222,4414009,4422664,4427296,4423299,4432131,4438796,4439269,4447243,4441981,4447235,4458532,4453453,4453931,4459365,4459121,4459192,4464389,4463953,4466018,4469269,4466704,4474649,4472347,4470516,4469985,4471247,4473806,4475009,4477564,4479523,4484147,4488265,4501217,4500915,4507866,4504309,4508998,4506108,4510252,4509278,4507831,4516847,4513779,4517437,4526473,4524726,4529220,4529699,4531883
Michigan : commercial,number of customers,ELEC.CUSTOMERS.MI-COM.M,531771,531201,531772,531800,532283,532655,532756,532780,533853,534012,534371,535029,535382,535411,536652,536541,537234,537879,538134,539861,540515,541594,541483,543367,541018,543998,542149,542095,544644,543964,544937,543406,542156,543628,541660,541879,543305,542541,542894,541375,545108,542918,543003,543503,542641,543491,544330,543983,544075,542749,543000,539541,542693,542436,542360,542229,542595,544115,543594,566847,544615,544273,544966,545492,545689,545718,546315,546058,547102,547206,547889,548034,544604,548280,549766,550216,550821,551124,552621,551444,552152,552049,552663,552671,552795,552879,553649,553342,554308,554516,555120,555147,555281,555190,555857,555753,556735,557068,559422,557920,558929,559366,560167,560256,560407,561526,560760,560866,561685,561652,562394,563557,564569
Michigan : industrial,number of customers,ELEC.CUSTOMERS.MI-IND.M,6003,5995,6147,6004,5992,6065,6051,6062,6074,6078,6015,5996,6120,6122,6343,6330,6174,6182,6140,6180,6145,6156,6112,6292,6093,6100,6277,6166,6231,6227,6263,6313,6164,6349,6015,6129,6140,5817,5774,6053,6069,6038,6023,6046,6013,5900,5840,5919,5657,5609,5615,5767,5788,5822,5806,5781,5754,5675,5638,5777,5475,5439,5475,5663,5651,5674,5680,5666,5664,5507,5458,5641,5458,5553,5598,5758,5755,5802,5820,5818,5833,5657,5649,5808,5636,5629,5636,5761,5791,5826,5789,5709,5715,5536,5496,5675,5566,5538,5536,5655,5643,5655,5672,5692,5668,5584,5545,5641,5548,5535,5540,5684,5683
Michigan : transportation,number of customers,ELEC.CUSTOMERS.MI-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Michigan : other,number of customers,ELEC.CUSTOMERS.MI-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio,number of customers,ELEC.CUSTOMERS.OH-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio : all sectors,number of customers,ELEC.CUSTOMERS.OH-ALL.M,5533311,5523900,5550805,5535654,5518908,5544600,5528208,5526879,5530238,5528080,5530775,5543112,5535621,5549012,5565885,5548094,5549761,5551155,5543934,5558471,5556348,5560901,5563656,5570229,5571888,5572291,5593636,5580510,5584185,5581125,5579780,5579488,5554319,5593297,5599246,5597797,5615237,5609245,5613093,5613289,5610104,5608628,5610499,5614229,5610334,5619642,5616428,5624515,5628996,5638108,5633285,5633219,5630419,5619112,5630343,5628099,5631827,5638048,5642920,5647928,5647182,5647946,5653399,5656210,5661024,5664768,5681710,5681375,5688309,5691368,5687369,5693853,5687504,5685125,5704208,5697435,5696675,5700411,5700022,5702894,5705431,5709211,5714080,5714557,5718157,5722815,5725218,5710188,5763587,5762726,5727669,5735535,5720060,5735473,5739722,5740224,5713480,5715190,5718307,5715020,5717250,5718731,5721265,5724754,5727817,5732163,5738139,5740516,5749618,5750176,5752285,5757308,5757772
Ohio : residential,number of customers,ELEC.CUSTOMERS.OH-RES.M,4894184,4887135,4909695,4896133,4880701,4901902,4887610,4886053,4889203,4887867,4891799,4902664,4896288,4907739,4921832,4906912,4907196,4907689,4902343,4912809,4913375,4916309,4920403,4926265,4928971,4929831,4947638,4935951,4937081,4934486,4932901,4932167,4910587,4945681,4951406,4950929,4966286,4961846,4965189,4964378,4961090,4958506,4960225,4962744,4960110,4968487,4973739,4975585,4978218,4981884,4982367,4981340,4977992,4971703,4976597,4974517,4978173,4984046,4989190,4995176,4991712,4993916,4998739,5001927,5004923,5009368,5023566,5023995,5030652,5033899,5030389,5036373,5031169,5032909,5041709,5038679,5037791,5039828,5039556,5042102,5044377,5047921,5053321,5053433,5057453,5062094,5063727,5066586,5111502,5108653,5080198,5087642,5073798,5088826,5093571,5094835,5069218,5072070,5075409,5072912,5074075,5075078,5076459,5080307,5082829,5087614,5093360,5096595,5103884,5105679,5107389,5111368,5111474
Ohio : commercial,number of customers,ELEC.CUSTOMERS.OH-COM.M,619897,617631,621800,620317,619141,623417,621455,621671,621945,621090,619930,621380,620183,622129,624791,622079,623458,624324,622573,626523,623919,625579,624218,624950,624189,623800,627174,625826,628386,627933,628212,628606,625235,629003,629261,628327,630129,628643,629143,630177,630285,631394,631585,632727,631564,632455,624048,630293,630741,636160,630782,631735,632257,631263,633586,633343,633536,633865,633609,632642,635616,634237,634849,634505,636360,635675,638372,637634,637915,637786,637275,637850,636725,632734,642819,639205,639368,640994,640871,641233,641517,641734,641254,641619,641237,641313,642067,624559,632522,634387,628119,628495,626958,627291,626824,626103,624881,623788,623537,622878,623888,624245,625167,625328,625906,625506,625761,625028,626760,625635,626418,627385,627928
Ohio : industrial,number of customers,ELEC.CUSTOMERS.OH-IND.M,19228,19132,19308,19202,19064,19279,19141,19153,19088,19121,19044,19066,19148,19142,19260,19101,19105,19140,19016,19137,19052,19011,19033,19012,18726,18658,18822,18731,18716,18704,18665,18713,18495,18611,18577,18539,18820,18754,18759,18732,18727,18726,18687,18756,18658,18698,18639,18635,20035,20062,20134,20142,20168,16144,20158,20237,20115,20134,20118,20107,19851,19790,19808,19775,19738,19722,19769,19743,19739,19680,19702,19627,19607,19479,19677,19548,19513,19586,19592,19556,19534,19553,19502,19502,19464,19405,19421,19040,19560,19683,19349,19395,19301,19353,19325,19284,19379,19330,19359,19228,19285,19406,19637,19117,19080,19041,19016,18891,18972,18860,18476,18553,18368
Ohio : transportation,number of customers,ELEC.CUSTOMERS.OH-TRA.M,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NM,3,NM,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ohio : other,number of customers,ELEC.CUSTOMERS.OH-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Wisconsin,number of customers,ELEC.CUSTOMERS.WI-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin : all sectors,number of customers,ELEC.CUSTOMERS.WI-ALL.M,3001303,2983745,2990543,3003714,2994226,2997275,3006891,3004782,3006490,3003641,2994815,3015011,3011758,2998167,3014122,3015575,3009389,3018362,3019048,3016078,3031024,3021271,3019997,3030964,3035372,3020868,3030642,3032529,3032011,3044092,3043584,3037381,3046101,3042143,3049953,3049832,3058581,3048135,3045796,3057471,3056554,3063562,3064344,3064152,3064570,3064611,3073785,3065456,3083322,3069701,3066484,3074690,3082990,3082347,3083718,3079984,3088738,3093061,3084304,3099072,3105584,3093736,3089510,3111397,3099380,3103926,3116563,3111912,3113676,3112220,3111267,3131104,3136180,3053137,3128865,3140955,3124506,3132046,3138479,3133276,3141981,3132701,3136216,3152511,3152586,3138800,3148538,3154849,3147418,3155880,3158549,3153343,3167243,3155859,3159873,3173583,3187780,3167461,3179361,3180904,3177717,3195724,3199669,3190282,3202241,3194160,3207178,3207875,3221583,3212944,3208362,3218510,3227318
Wisconsin : residential,number of customers,ELEC.CUSTOMERS.WI-RES.M,2647382,2632556,2638796,2650314,2642296,2645155,2653152,2651371,2652471,2650588,2642357,2660237,2657072,2646184,2659634,2660632,2656645,2664007,2664327,2662796,2671950,2664907,2664599,2674587,2677745,2665466,2674243,2676158,2675398,2686165,2685438,2680202,2687520,2685082,2691371,2691267,2698132,2689601,2687414,2697610,2696673,2702708,2703097,2703264,2703365,2704419,2711830,2704824,2721162,2709609,2706864,2713835,2720656,2720062,2721205,2717895,2725223,2730025,2721988,2734929,2739708,2729668,2725805,2745129,2734419,2738593,2749504,2745408,2746967,2746174,2745366,2762285,2768034,2689303,2763000,2773301,2759025,2765355,2770700,2766543,2772573,2764960,2768338,2782686,2782569,2771086,2779903,2785859,2778634,2786425,2788725,2785178,2796218,2787731,2791346,2803743,2815773,2798184,2808653,2810204,2806518,2822264,2825525,2817754,2827548,2821041,2832670,2833054,2845351,2837606,2833674,2843844,2851525
Wisconsin : commercial,number of customers,ELEC.CUSTOMERS.WI-COM.M,348455,345731,346248,347886,346484,346523,348162,347807,348398,347410,346994,349314,349176,346478,348922,349372,347205,348771,349234,347727,353526,350802,349889,350845,352053,349833,350765,350747,350917,352197,352443,351390,352807,351437,353032,352849,354701,353005,352812,354078,354089,355013,355340,354931,355283,354424,356255,354736,356745,354732,354220,355199,356726,356673,356885,356447,357922,357603,356972,358576,360384,358605,358214,360515,359257,359599,361340,360808,361002,360523,360422,363108,362685,358364,360349,361889,359717,360911,362000,360902,363585,362195,362352,364070,364494,362364,363231,363400,363130,363746,364151,362432,365312,362658,363082,364142,366520,363812,365238,365104,365567,367823,368500,366867,369070,367617,369060,369201,370747,369863,369221,368986,370139
Wisconsin : industrial,number of customers,ELEC.CUSTOMERS.WI-IND.M,5465,5457,5498,5513,5445,5596,5576,5603,5620,5642,5463,5459,5509,5504,5565,5570,5538,5583,5486,5554,5547,5561,5508,5531,5573,5568,5633,5623,5695,5729,5702,5788,5773,5623,5549,5715,5747,5528,5569,5782,5791,5840,5906,5956,5921,5767,5699,5895,5413,5358,5398,5654,5606,5610,5626,5640,5591,5431,5342,5565,5490,5461,5489,5751,5702,5732,5717,5694,5705,5521,5477,5709,5459,5468,5514,5763,5762,5778,5777,5829,5821,5544,5524,5753,5521,5348,5402,5588,5652,5707,5671,5731,5711,5468,5443,5696,5485,5463,5468,5594,5630,5635,5642,5659,5621,5500,5446,5618,5483,5473,5465,5678,5652
Wisconsin : transportation,number of customers,ELEC.CUSTOMERS.WI-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Wisconsin : other,number of customers,ELEC.CUSTOMERS.WI-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
West North Central,number of customers,ELEC.CUSTOMERS.WNC-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West North Central : all sectors,number of customers,ELEC.CUSTOMERS.WNC-ALL.M,10785063,10792349,10815793,10812032,10818416,10833899,10850838,10806462,10818318,10820101,10814744,10839017,10841619,10859972,10886052,10872455,10891357,10902736,10900396,10927791,10928621,10925586,10931664,10952291,10933923,10941692,10963087,10965190,10991234,10999279,11000321,11023189,11011311,11024974,11026547,11040010,11033392,11024327,11043187,11052858,11078072,11081852,11097958,11107583,11089354,11097496,11103531,11107312,11116002,11109302,11126196,11132395,11163768,11155969,11182953,11188415,11173511,11207877,11187427,11208608,11185067,11180156,11196448,11222935,11226508,11243497,11282887,11285265,11289373,11289978,11287261,11321511,11299006,11291827,11341760,11344259,11359642,11373064,11392608,11403560,11403568,11343377,11464996,11428385,11398559,11394374,11424741,11433267,11447427,11456571,11458816,11497322,11485633,11486879,11480109,11525959,11528475,11521321,11558468,11536846,11558987,11571481,11593722,11602597,11625128,11577901,11571314,11601133,11629914,11631574,11650818,11672566,11698991
West North Central : residential,number of customers,ELEC.CUSTOMERS.WNC-RES.M,9259388,9268025,9287808,9282162,9284993,9299099,9310378,9272798,9280024,9279251,9277055,9300594,9297841,9311654,9334603,9320550,9336382,9345728,9345337,9367290,9366296,9364289,9370191,9389790,9378077,9387411,9405535,9405286,9423043,9429307,9429292,9449038,9439418,9457056,9459850,9469352,9459560,9459962,9474887,9476595,9494268,9498109,9511657,9519636,9504052,9518193,9526074,9523339,9535543,9531069,9545602,9543633,9567960,9560754,9582997,9589914,9573919,9610557,9593748,9607581,9588641,9586466,9599215,9617278,9619845,9635458,9669326,9672857,9675282,9683280,9681659,9703724,9683216,9679571,9719164,9713604,9725024,9736651,9754427,9762803,9761162,9711164,9831064,9786778,9770190,9768886,9793384,9795288,9804254,9812939,9812853,9849745,9838513,9850431,9843203,9880497,9881006,9878101,9910433,9887294,9910295,9921119,9940900,9947918,9970790,9931096,9934088,9960714,9992991,9997987,10013882,10028954,10050907
West North Central : commercial,number of customers,ELEC.CUSTOMERS.WNC-COM.M,1403342,1402288,1405283,1406871,1409645,1408809,1414692,1407761,1411854,1414715,1413196,1415496,1419983,1424272,1426701,1426542,1430121,1431185,1429893,1434630,1437328,1436807,1437831,1438490,1433528,1432196,1434272,1436412,1442296,1443239,1444896,1447203,1445967,1447341,1447168,1446743,1448646,1445964,1449323,1450391,1457008,1456085,1458840,1460287,1458752,1458950,1458491,1458791,1459021,1457865,1459410,1459359,1465717,1464414,1468752,1466742,1468555,1473158,1471133,1471376,1473229,1470858,1473605,1474097,1475257,1475947,1480860,1480234,1481819,1482053,1482661,1486485,1492928,1489766,1498738,1498836,1502459,1503313,1505182,1507011,1508278,1507591,1509844,1510038,1504248,1501925,1506849,1505836,1510098,1509502,1512260,1513089,1513362,1510977,1512263,1512840,1521657,1518118,1522429,1519553,1517438,1518730,1521130,1522212,1522813,1520345,1512062,1509910,1510794,1507732,1511420,1512194,1516419
West North Central : industrial,number of customers,ELEC.CUSTOMERS.WNC-IND.M,122331,122034,122700,122997,123776,125989,125766,125901,126438,126133,124491,122925,123793,124044,124746,125361,124851,125820,125163,125868,124994,124487,123639,124008,122315,122082,123277,123489,125892,126730,126130,126945,125923,120574,119526,123912,125183,118398,118974,125869,126793,127655,127458,127657,126547,120350,118963,125179,121435,120365,121181,129400,130088,130798,131201,131756,131034,124159,122543,129648,123194,122829,123625,131557,131403,132089,132698,132171,132269,124642,122938,131299,122859,122487,123855,131816,132156,133097,132996,133743,134125,124619,124085,131566,124118,123560,124505,132140,133072,134127,133700,134485,133755,125468,124640,132619,125809,125099,125603,129996,131251,131629,131689,132464,131522,126457,125161,130506,126126,125852,125513,131415,131662
West North Central : transportation,number of customers,ELEC.CUSTOMERS.WNC-TRA.M,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
West North Central : other,number of customers,ELEC.CUSTOMERS.WNC-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa,number of customers,ELEC.CUSTOMERS.IA-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa : all sectors,number of customers,ELEC.CUSTOMERS.IA-ALL.M,1585611,1585401,1588931,1588514,1589335,1590325,1592754,1592374,1595363,1597526,1595081,1600157,1595161,1596856,1601282,1597383,1599740,1601014,1600927,1604753,1604736,1606305,1608320,1612875,1613409,1614511,1619486,1616688,1620528,1620509,1620620,1624600,1622136,1627068,1626510,1629283,1629385,1628257,1631596,1630891,1632058,1632952,1634091,1636008,1633530,1636485,1637050,1637722,1640073,1635236,1639461,1639594,1643443,1639495,1644934,1641033,1642768,1653292,1648485,1651474,1650456,1648445,1649544,1656690,1654420,1655964,1659958,1657273,1659542,1660642,1662027,1664822,1664817,1666131,1671086,1669675,1670299,1671903,1674491,1676773,1677696,1677119,1679647,1681848,1674652,1674180,1678560,1676239,1678621,1679674,1681066,1682822,1684506,1684444,1685820,1690359,1704814,1702726,1707812,1703789,1705935,1707189,1710160,1710589,1711033,1714035,1714853,1717840,1722014,1719638,1722456,1724168,1728180
Iowa : residential,number of customers,ELEC.CUSTOMERS.IA-RES.M,1353529,1353678,1356288,1355343,1355689,1356787,1358269,1357823,1358910,1357958,1355163,1359738,1355216,1352917,1358222,1354546,1356358,1357698,1357455,1360838,1360567,1361765,1363499,1367698,1368891,1370053,1374431,1371869,1374503,1374634,1374666,1378047,1375981,1380900,1380350,1382803,1382437,1381924,1384442,1383610,1383972,1384937,1385784,1388287,1385311,1388641,1389975,1389707,1391123,1387135,1390487,1389767,1392436,1389850,1393647,1390432,1391783,1401557,1397425,1400096,1397865,1396294,1397127,1403331,1401109,1402723,1405914,1403768,1405758,1407279,1408813,1410559,1410664,1412016,1415925,1414025,1414228,1415702,1417913,1420015,1420480,1420643,1422817,1424561,1420885,1420731,1424320,1422044,1423569,1424829,1425883,1427705,1429058,1429574,1430696,1434549,1447313,1445603,1449871,1445966,1448084,1449173,1451551,1451935,1452272,1455303,1456213,1458596,1462538,1460517,1463084,1464482,1468043
Iowa : commercial,number of customers,ELEC.CUSTOMERS.IA-COM.M,224532,224185,225056,225581,226024,225849,226817,226845,228724,231806,232258,232800,232199,236309,235276,235062,235652,235553,235777,236150,236472,236816,237154,237441,236850,236781,237309,237087,238201,238010,238146,238676,238331,238550,238613,238723,238992,238682,239465,239295,240093,239975,240300,239664,240241,240108,239440,240110,240638,239936,240676,241094,242268,240895,242517,241805,242250,243283,242738,242700,243364,242958,243163,243591,243627,243538,244295,243824,244065,244046,244071,244576,245007,244959,245936,245937,246401,246509,246890,246989,247457,247267,247665,247664,244607,244332,245066,244589,245406,245162,245551,245409,245778,245673,245992,246184,249134,248795,249586,249267,249274,249438,250024,250020,250191,250366,250360,250695,251152,250822,251081,251055,251537
Iowa : industrial,number of customers,ELEC.CUSTOMERS.IA-IND.M,7550,7538,7587,7590,7622,7689,7668,7706,7729,7762,7660,7619,7746,7630,7784,7775,7730,7763,7695,7765,7697,7724,7667,7736,7668,7677,7746,7732,7824,7865,7808,7877,7824,7618,7547,7757,7956,7651,7689,7986,7993,8040,8007,8057,7978,7736,7635,7905,8312,8165,8298,8733,8739,8750,8770,8796,8735,8452,8322,8678,9227,9193,9254,9768,9684,9703,9749,9681,9719,9317,9143,9687,9146,9156,9225,9713,9670,9692,9688,9769,9759,9209,9165,9623,9160,9117,9174,9606,9646,9683,9632,9708,9670,9197,9132,9626,8367,8328,8355,8556,8577,8578,8585,8634,8570,8366,8280,8549,8324,8299,8291,8631,8600
Iowa : transportation,number of customers,ELEC.CUSTOMERS.IA-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa : other,number of customers,ELEC.CUSTOMERS.IA-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas,number of customers,ELEC.CUSTOMERS.KS-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas : all sectors,number of customers,ELEC.CUSTOMERS.KS-ALL.M,1476293,1477880,1479855,1480079,1485578,1485152,1494706,1488393,1486558,1484376,1486191,1487569,1501075,1503598,1504875,1505507,1510523,1510801,1517987,1513392,1511499,1509795,1511474,1513355,1507573,1507277,1507166,1514036,1517081,1517820,1524733,1517746,1517811,1515975,1520619,1519561,1516458,1515920,1517584,1519640,1527491,1526666,1532946,1528284,1527194,1524557,1528148,1526943,1526155,1527845,1529866,1529528,1535019,1536962,1539160,1539958,1536489,1535435,1538326,1538309,1532478,1532600,1538330,1535229,1544619,1542837,1547806,1552743,1546597,1545967,1548486,1547344,1549079,1536106,1555391,1554849,1559615,1560520,1562451,1564471,1564371,1562978,1565624,1564669,1559019,1556397,1562931,1565206,1567130,1566889,1574061,1569458,1570141,1570962,1571263,1571592,1590697,1589286,1593703,1594303,1597495,1598644,1604898,1603814,1603885,1602675,1604466,1607420,1605143,1607805,1608433,1612701,1614705
Kansas : residential,number of customers,ELEC.CUSTOMERS.KS-RES.M,1225608,1227231,1229024,1228909,1233978,1232766,1240714,1234435,1232598,1230445,1232457,1233738,1245521,1247660,1248939,1249541,1253785,1253253,1261635,1256281,1254366,1252705,1254169,1256210,1251955,1252751,1251910,1258559,1260658,1260402,1267433,1260677,1261041,1259022,1263419,1262837,1259317,1259788,1260903,1262450,1268692,1267562,1273440,1268798,1268110,1265699,1269408,1268323,1267731,1269533,1271616,1271078,1275652,1277266,1278943,1279643,1276615,1275443,1278048,1277891,1273312,1273502,1277472,1275449,1284710,1282185,1286716,1291731,1285927,1285284,1287866,1286076,1282313,1271850,1286864,1286552,1290778,1290784,1293047,1293677,1294170,1292993,1294973,1294042,1290546,1288970,1293480,1296417,1297304,1296520,1303623,1298620,1299711,1300838,1301105,1301614,1318610,1317789,1321372,1322304,1324297,1325174,1331518,1330241,1331003,1329980,1331309,1334413,1332679,1335354,1336043,1339486,1340674
