description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
New England : residential,number of customers,ELEC.CUSTOMERS.NEW-RES.M,6311008,6315339,6319490,6318277,6296268,6328704,6325691,6324290,6334370,6332013,6319481,6349007,6254291,6270170,6308694,6260930,6319070,6298265,6289860,6299014,6322016,6268697,6299487,6294137,6332482,6296774,6368632,6340856,6347085,6379722,6353840,6310945,6337797,6306148,6369795,6319984,6377318,6348500,6341336,6350565,6420459,6357546,6418524,6389743,6366631,6388980,6372435,6399235,6397136,6331955,6435855,6372727,6408036,6395000,6443471,6491443,6399306,6422847,6416540,6424738,6479555,6364607,6447360,6456179,6440599,6469578,6480768,6480770,6448345,6480794,6398868,6428279,6480538,6434640,6504977,6496470,6485821,6539617,6474682,6531135,6498225,6457036,6532854,6523504,6547409,6511850,6574102,6455926,6556437,6563262,6539577,6770470,6619186,6570280,6551287,6517245,6577074,6551788,6535706,6512476,6570224,6574828,6556149,6579548,6540948,6615983,6596935,6558855,6595089,6638813,6662348,6612006,6613216
New England : commercial,number of customers,ELEC.CUSTOMERS.NEW-COM.M,879393,879457,870325,869882,867226,892874,872634,871291,874013,873707,872673,875866,867393,869026,901621,867604,873999,864710,873687,877901,877873,871083,874766,873989,880109,877307,886098,884541,885777,890625,886990,886843,885349,881050,893910,884036,873630,866542,877362,877082,883634,878343,879808,895158,892822,893989,893109,894457,885963,876910,893396,884947,888333,888287,894932,894988,889618,894021,893945,894055,894583,885086,894799,896146,893466,894425,891752,890127,887722,900661,885465,896826,916384,912104,919083,913916,915897,921917,914441,921119,917857,912840,923591,920747,924569,923261,929356,910039,932406,934352,931179,936702,937826,934240,935957,931806,942305,937105,944892,884760,943806,942327,941486,945664,938952,952320,950919,949293,953537,962093,971269,953190,948772
New England : industrial,number of customers,ELEC.CUSTOMERS.NEW-IND.M,27145,27229,26972,26911,26720,26874,26757,26971,26965,26880,26679,26815,26445,26402,26607,26309,26476,26462,26275,26451,26512,26261,26396,26330,23153,22744,23219,23071,23076,23145,23011,23070,23115,22960,23029,22748,23389,23192,23200,23005,23102,22975,22886,23033,22874,23024,22891,22755,23594,23243,23623,23494,23493,23105,23391,23247,23052,23274,23146,23039,23159,22804,22961,22948,22844,22976,22817,22873,22699,22900,22236,22519,22721,22472,22789,22654,22576,22695,22436,22580,22457,22295,22347,22329,21887,21767,21856,21392,21892,21732,21618,21728,21765,21710,21602,21466,21712,21803,22054,21434,21623,21451,21586,21644,21509,21653,21603,21283,21536,21365,20985,20996,23295
New England : transportation,number of customers,ELEC.CUSTOMERS.NEW-TRA.M,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,NM,NM,NM,NM,NM,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
New England : other,number of customers,ELEC.CUSTOMERS.NEW-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut,number of customers,ELEC.CUSTOMERS.CT-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut : all sectors,number of customers,ELEC.CUSTOMERS.CT-ALL.M,1633962,1634594,1624984,1624099,1623123,1622396,1621825,1622124,1624358,1625903,1626702,1626722,1629430,1641768,1640407,1644557,1643725,1642971,1643049,1644378,1644554,1646490,1648325,1650343,1649934,1650039,1647834,1652565,1653281,1652981,1651730,1653155,1653673,1654608,1656322,1658306,1660149,1659457,1660806,1661205,1662362,1661305,1661692,1662426,1660832,1662857,1664106,1664843,1664289,1665041,1664704,1665723,1665829,1665840,1667552,1667617,1668173,1669642,1669942,1671467,1681473,1681589,1683233,1685374,1680098,1681898,1679412,1677477,1678647,1678389,1676518,1677521,1683261,1686405,1686231,1689433,1690207,1690268,1690703,1691388,1692298,1693074,1693348,1694494,1693476,1693725,1694194,1695168,1695770,1695855,1696042,1696748,1696205,1697078,1698208,1699247,1698350,1700132,1700235,1699517,1700528,1700454,1700033,1700468,1692310,1708199,1703096,1704435,1702726,1704135,1706623,1709453,1710835
Connecticut : residential,number of customers,ELEC.CUSTOMERS.CT-RES.M,1469291,1469854,1469144,1468448,1467648,1466943,1466473,1466706,1469103,1470588,1471641,1471640,1474939,1485151,1483922,1487768,1487045,1486253,1486411,1487546,1487694,1489430,1491423,1493301,1493996,1494061,1490737,1495112,1495797,1495564,1494313,1495654,1495983,1496909,1498387,1500414,1501815,1501142,1502603,1503021,1504169,1503147,1503574,1504240,1502562,1504599,1505852,1507684,1508332,1508830,1508589,1509456,1509647,1509735,1511210,1511517,1511927,1513319,1513745,1515286,1522823,1522778,1524441,1526532,1522221,1522432,1519841,1518318,1519438,1519020,1517203,1518294,1523802,1526990,1526299,1529440,1530054,1530257,1530650,1531619,1532644,1533246,1533567,1534438,1533984,1534163,1534813,1535754,1536324,1536504,1536680,1536949,1535824,1536730,1537864,1538998,1537624,1539160,1539230,1539011,1539841,1539758,1539297,1539755,1535197,1547095,1541987,1543452,1541617,1542927,1545273,1548172,1549497
Connecticut : commercial,number of customers,ELEC.CUSTOMERS.CT-COM.M,159928,159993,151398,151231,151055,151034,150952,151019,150870,150914,150687,150705,150151,152197,152060,152364,152258,152338,152238,152435,152441,152651,152441,152603,151538,151603,152695,153043,153071,153021,153029,153109,153300,153338,153526,153563,153913,153947,153855,153858,153861,153831,153852,153882,153973,153970,153974,152980,151697,151940,151883,152022,151966,151914,152136,151943,152070,152135,152013,152036,154475,154645,154626,154658,153715,155311,155424,155030,155190,155193,155344,155085,155340,155544,155833,155891,156070,155924,155991,155709,155596,155782,155761,156046,155504,155588,155401,155409,155456,155375,155408,155821,156392,156353,156363,156320,156770,156985,157050,156528,156717,156768,156793,156782,153297,157167,157181,157113,157238,157304,157480,157391,157457
Connecticut : industrial,number of customers,ELEC.CUSTOMERS.CT-IND.M,4740,4744,4439,4417,4417,4416,4397,4396,4382,4398,4371,4374,4337,4417,4422,4422,4419,4376,4396,4393,4415,4405,4457,4435,4397,4372,4399,4406,4409,4393,4385,4389,4387,4358,4406,4326,4418,4365,4345,4323,4329,4323,4262,4300,4293,4284,4276,4175,4257,4268,4229,4242,4213,4188,4203,4154,4173,4185,4181,4142,4172,4163,4163,4181,4159,4152,4144,4126,4016,4173,3968,4139,4116,3868,4096,4099,4080,4084,4059,4057,4055,4043,4017,4007,3985,3971,3977,4002,3987,3973,3951,3975,3986,3992,3978,3926,3953,3984,3952,3975,3967,3925,3940,3928,3813,3934,3925,3867,3868,3901,3867,3887,3878
Connecticut : transportation,number of customers,ELEC.CUSTOMERS.CT-TRA.M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,NM,NM,NM,NM,NM,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Connecticut : other,number of customers,ELEC.CUSTOMERS.CT-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine,number of customers,ELEC.CUSTOMERS.ME-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine : all sectors,number of customers,ELEC.CUSTOMERS.ME-ALL.M,803714,803977,802583,803274,777976,808274,807323,805204,807783,804586,755581,811222,809628,781599,812435,783400,813814,812341,783097,815045,811628,784641,782429,813528,811767,752120,813733,809829,816855,816797,816439,817284,817559,817140,816633,816515,817872,787491,819334,815206,819519,818655,784373,823707,790880,823051,789837,817813,819051,788176,820703,796780,825525,794753,828914,828338,799058,829695,802259,828727,856794,738073,832584,829771,802584,833321,831937,828922,830424,832448,774663,822245,826945,787426,837150,833172,804705,838538,800703,839666,837716,814474,810506,843056,843355,809594,822947,818222,852450,853761,820267,855871,853885,829757,821025,855917,856385,824828,834391,796605,859892,857841,831855,855865,831671,863082,851256,851216,851631,846976,857922,865611,866972
Maine : residential,number of customers,ELEC.CUSTOMERS.ME-RES.M,703382,703583,702745,702880,680527,707165,706182,704286,706642,703478,660520,709502,707879,683018,710304,684896,711498,710173,683168,711397,709464,685754,683385,710915,709414,656817,711186,708485,713802,713515,712985,713670,713907,713500,713127,713090,717177,690282,718718,716620,719091,718571,690777,721482,693715,721586,692709,717463,716619,689754,717991,695791,721875,694205,724335,723734,697969,724667,699787,723699,753197,645242,727550,724821,700810,730809,730840,731037,731000,732517,680237,722645,724682,687424,734410,732614,707332,737516,703732,737821,735683,713800,710410,739032,739138,707008,718234,711787,741436,742426,712753,744097,741629,720947,713351,743858,744157,714013,723451,693572,747160,746530,723210,744546,721450,748943,739413,739388,737768,737069,744764,751651,752743
Maine : commercial,number of customers,ELEC.CUSTOMERS.ME-COM.M,97325,97378,96823,97374,94586,98077,98122,97885,98106,98080,92275,98654,98706,95632,99047,95555,99231,99080,96978,100550,99077,95945,96083,99494,99242,92503,99422,98281,99927,100151,100328,100474,100515,100494,100360,100282,97481,94166,97392,95453,97320,97036,90670,99134,94262,98340,94191,97337,99325,95523,99634,97999,100604,97808,101684,101739,98379,102168,99755,102221,100751,90310,102230,102182,99133,99741,98349,95192,96724,97237,91975,97066,99732,97489,100138,97949,94923,98452,94599,99309,99539,98264,97697,101535,101940,100418,102552,104345,108781,109129,105432,109582,110093,106725,105607,109919,110076,108714,108822,101110,110672,109278,106672,109227,108204,112106,109842,109827,111827,107948,111218,111967,112246
Maine : industrial,number of customers,ELEC.CUSTOMERS.ME-IND.M,3007,3016,3015,3020,2863,3032,3019,3033,3035,3028,2786,3066,3043,2949,3084,2949,3085,3088,2951,3098,3087,2942,2961,3119,3111,2800,3125,3063,3126,3131,3126,3140,3137,3146,3146,3143,3214,3043,3224,3133,3108,3048,2926,3091,2903,3125,2937,3013,3107,2899,3078,2990,3046,2740,2895,2865,2710,2860,2717,2807,2846,2521,2804,2768,2641,2771,2748,2693,2700,2694,2451,2534,2531,2513,2602,2609,2450,2570,2372,2536,2494,2410,2399,2489,2277,2168,2161,2090,2233,2206,2082,2192,2163,2085,2067,2140,2152,2101,2118,1923,2060,2033,1973,2092,2017,2033,2001,2001,2036,1959,1940,1993,1983
